Stock,Prediction
600000,0.19675657
600004,0.015524529
600007,0.23201089
600010,0.12687224
600011,0.11141486
600015,0.20879436
600016,0.16143036
600017,0.30852038
600018,0.28448188
600019,0.19675657
600020,0.31190032
600021,0.17359263
600022,0.18903586
600023,0.26541346
600025,0.19675657
600026,0.11141486
600028,0.20879436
600029,0.20879436
600031,0.015524529
600033,0.28431034
600035,0.30852038
600036,0.11141486
600048,0.015524529
600050,0.30852038
600054,0.11141486
600056,0.015524529
600057,0.28680676
600058,0.23201089
600059,-0.07415753
600060,0.015524529
600061,0.19675657
600062,0.015524529
600064,0.20394635
600067,0.30576646
600073,0.18548644
600076,0.07019246
600082,0.36860126
600085,0.015524529
600088,-0.54396087
600089,0.015524529
600094,0.30852038
600096,0.015524529
600097,0.015545972
600098,0.28448188
600099,0.16968638
600100,0.17222083
600101,-0.24317303
600103,-0.84249717
600104,0.23201089
600105,-0.98560774
600106,0.29008192
600107,0.30852038
600108,0.30852038
600111,0.015524529
600113,0.28680676
600114,0.26202196
600115,0.084756084
600118,0.015524529
600120,0.30852038
600121,-0.40972775
600123,0.015524633
600125,0.17445004
600126,0.26998585
600127,0.16978317
600128,0.17084545
600129,-0.17620064
600130,0.36860126
600131,0.015524529
600132,-0.17620064
600133,-0.88772774
600135,0.17485589
600137,-0.91986966
600138,0.14257789
600141,0.015524529
600143,0.2868057
600148,-1.018016
600151,0.16968638
600152,-0.5334825
600153,0.20394635
600155,0.30852038
600156,0.30852038
600159,0.4250879
600161,0.015524529
600162,0.21256033
600163,0.11141486
600166,0.3085202
600168,0.23201089
600169,0.07019246
600170,0.28427982
600171,0.1257434
600173,0.28680676
600177,0.26460117
600178,0.33162266
600180,0.28680557
600183,0.015524529
600184,0.015524529
600187,-0.32400793
600188,-0.017057173
600189,0.17485589
600192,0.30852038
600195,0.015524529
600196,0.11141486
600197,0.015524529
600199,0.015524529
600200,0.1698454
600201,0.16968626
600202,0.081392474
600203,0.021712966
600206,0.015524529
600207,0.20879436
600208,0.28417403
600210,0.37033492
600211,-0.17620064
600216,0.015524529
600218,0.17370886
600219,0.28427988
600223,0.015524529
600227,0.07019246
600229,0.16968638
