Stock,Prediction
600000,-0.03289391
600004,0.047057763
600007,-0.039057642
600010,-0.15058716
600011,-0.285756
600015,-0.052891478
600016,0.00037027738
600017,0.09653427
600018,-0.029490637
600019,0.035249308
600020,0.043530956
600021,0.006305112
600022,0.2723529
600023,0.043498054
600025,0.051918283
600026,-0.21094386
600028,-0.052891478
600029,-0.285756
600031,-0.1667987
600033,0.036763206
600035,0.03528066
600036,-0.3753356
600048,0.0470483
600050,0.035481647
600054,-0.0034670697
600056,0.03528078
600057,0.035249308
600058,0.047048777
600059,0.035249308
600060,-0.039057642
600061,0.035249308
600062,-0.7059998
600064,0.035249308
600067,0.15728946
600073,0.085328355
600076,0.017013444
600082,0.09653427
600085,-0.27205142
600088,-0.18186055
600089,0.006321682
600094,0.09653427
600096,-0.13547365
600097,-0.112391755
600098,0.035249308
600099,0.035249308
600100,-0.24793808
600101,0.035249308
600103,0.082432285
600104,0.047048777
600105,-0.17279898
600106,0.09653427
600107,0.09653427
600108,0.09653427
600111,-0.039057642
600113,0.035249308
600114,-1.188499
600115,-0.3675455
600118,-0.2067839
600120,0.03528066
600121,0.09653427
600123,-0.113168225
600125,0.08532746
600126,0.035249308
600127,-0.043574974
600128,0.035249308
600129,-0.12222239
600130,-0.042409763
600131,-0.039057642
600132,-0.43221158
600133,-0.06639288
600135,0.035249308
600137,-0.12798502
600138,-0.18186055
600141,-0.20075248
600143,-0.1109467
600148,-0.2067839
600151,0.035249308
600152,-0.04057364
600153,0.006305112
600155,-0.5391847
600156,0.09653427
600159,-0.03354509
600161,-0.039057642
600162,0.08211972
600163,-0.052891478
600166,0.13616498
600168,0.035249308
600169,-0.07486318
600170,0.09653427
600171,0.006305112
600173,0.035249308
600177,0.035249308
600178,0.035249308
600180,0.03528066
600183,-0.039057642
600184,0.0470483
600187,0.2635247
600188,-0.17210393
600189,-0.49953508
600192,0.09653427
600195,0.047048777
600196,-0.21094386
600197,-0.2067839
600199,-0.14270663
600200,0.08532746
600201,0.035249308
600202,-0.5406722
600203,-1.048691
600206,0.035249308
600207,0.046456352
600208,0.01153071
600210,0.035249308
600211,-0.5233008
600216,0.035249308
600218,0.03524919
600219,-0.112476334
600223,0.035249308
600227,-0.0116615165
600229,0.035249308
600230,-0.1667987
600231,0.01153071
600232,0.035249308
600233,0.047048777
600235,0.09653427
600236,-0.03289391
600237,-0.31724244
600249,-0.07004367
600251,-0.112391636
600252,0.09713115
600256,-0.038768753
600257,-1.334076
600258,-0.1667987
600259,-0.4366579
600261,0.041056827
600262,-0.039057642
600266,-0.029513704
600268,-0.07005535
600269,0.09653427
600271,0.035249308
600272,-0.57367563
600273,0.035249308
600276,-0.40128458
600279,0.035249308
600281,0.035249308
600285,-0.18187602
600288,0.035249308
600293,0.2661411
600295,-0.3753356
600298,-0.27205142
600299,0.051918283
600302,0.09653427
600305,-0.0122541655
600307,0.14477636
600308,0.09653427
600309,-0.27205142
600312,-0.07005535
600313,0.035249308
600315,-0.1667987
600316,-0.039057642
600320,-0.086248025
600322,-0.26984578
600323,-0.039057642
600325,-0.07005535
600326,-0.7570853
600327,0.03524925
600328,0.035249308
600330,0.035249308
600332,-0.21135561
600333,0.035481647
600335,0.035249308
600336,-0.19758604
600337,0.09653427
600338,-0.22750054
600339,0.03525366
600343,0.035249308
600346,0.047048777
600348,-0.07005535
600350,0.051918283
600351,-0.17810263
600352,0.035249308
600353,-0.21232264
600355,0.07732333
600359,-0.112391755
600362,-0.32653767
600363,-0.43221158
600366,0.035249308
600367,-0.18187861
600368,0.09653427
600369,0.046456352
600371,0.03694047
600376,0.035249308
600377,-0.3753356
600379,0.035249308
600380,0.047048777
600383,-0.11316745
600386,0.09653427
600390,0.035249308
600391,-0.20075248
600392,0.035249308
600395,0.035249308
600397,-0.7967293
600398,0.035249308
600400,0.09653427
600405,0.09653427
600406,-0.039057642
600409,0.035249308
600410,-0.011342214
600415,-0.18187754
600418,-0.39778873
600420,0.008309675
600425,-0.19824313
600426,-0.27205142
600428,0.03524925
600429,0.043498054
600435,-0.07005535
600436,-0.27205142
600438,-0.27205142
600439,0.09794904
600444,-0.21901475
600448,0.09653427
600452,0.0071908967
600456,-0.43736666
600458,0.035249308
600467,-0.033663943
600468,-0.08156444
600469,0.16083224
600475,0.047057763
600476,-0.6302832
600477,0.087018445
600478,0.035249308
600480,0.0063056485
600481,-0.07005535
600483,0.047048777
600487,0.006305112
600489,0.035249308
600490,0.09653427
600493,0.08535905
600495,0.09653427
600496,0.09653427
600497,0.03524919
600498,-0.18187861
600499,0.035249308
600500,0.0649776
600501,0.006305112
600502,0.09653427
600503,0.053321972
600505,0.035249308
600507,0.035249308
600508,-0.1667987
600509,0.08900668
600510,0.03694047
600511,-0.21094386
600512,0.09793408
600513,0.035249308
600516,0.035249308
600517,0.051918283
600519,-0.27205142
600521,-0.039057642
600522,-0.11940406
600523,0.04569754
600525,0.085328355
600527,0.08211969
600528,0.035249308
600529,-0.2066736
600531,-0.011342214
600533,0.26253974
600536,-0.33832532
600537,0.09653427
600545,-0.9374525
600546,-0.20678619
600548,-0.32653767
600549,-0.039057642
600550,0.043498054
600551,0.047048777
600552,-0.18089692
600557,-1.5336778
600558,0.09653427
600559,-0.27398378
600560,-1.5970044
600561,0.09653427
600562,-0.039057642
600563,-0.52286625
600566,-0.039057642
600567,0.05353017
600569,0.028811796
600570,-0.43736666
600571,-0.18089692
600572,0.05671443
600573,0.035249308
600577,0.09653427
600578,0.052349195
600579,0.035249308
600580,0.03526266
600581,0.046456352
600582,0.035249308
600583,0.035249308
600585,-0.3753356
600586,-0.07005535
600587,-0.3232318
600588,-0.039057642
600590,0.035249308
600592,0.035249308
600594,0.09653427
600597,0.035249308
600598,0.047048777
600600,-0.08900826
600602,-0.6077584
600604,-0.052891478
600608,-0.10494195
600609,0.035481647
600611,0.107647076
600612,-0.30558097
600613,-0.5187911
600616,-0.07005541
600617,0.08900668
600618,-0.32653767
600619,0.050357774
600620,0.035249308
600621,-0.18187861
600622,0.097131565
600623,0.19999345
600624,0.09653427
600626,0.06618549
600628,0.035249308
600629,0.09653427
600630,-1.1489673
600633,-0.39822462
600635,-0.026965247
600636,-0.11407815
600637,0.035249308
600638,0.035249308
600639,-0.3753356
600640,0.047048777
600642,0.035249308
600643,0.035249308
600644,0.035249308
600645,-0.20075248
600648,-0.285756
600649,0.035249308
600650,-0.3753356
600653,0.08211969
600655,0.035249308
600657,0.043502703
600658,0.035249308
600660,-0.21094386
600661,0.035249308
600664,0.017886175
600665,0.09653427
600667,0.09653427
600668,0.035249308
600674,0.047048777
600675,0.04595889
600676,0.035249308
600678,0.09653427
600681,0.035249308
600682,0.08900668
600683,-0.1646507
600684,0.09541072
600685,-0.28362733
600686,0.08532734
600688,-0.086248025
600689,-0.1883861
600691,0.046247795
600692,0.16083224
600693,0.035249844
600694,-0.039057642
600697,-0.17473833
600699,-0.18187602
600703,-0.039057583
600704,0.035249308
600705,0.03694047
600706,-0.7020066
600708,0.19602738
600710,0.03524919
600712,0.09653427
600713,0.08900668
600714,0.035249308
600716,0.09653427
600717,0.035249308
600722,0.035249308
600724,0.04373683
600728,-0.011375116
600730,0.09653427
600731,0.03694047
600733,-0.29688436
600735,0.035249308
600736,0.09653427
600737,0.035249308
600739,0.047048777
600740,-0.02806686
600741,-0.039057642
600742,0.008309675
600743,0.31591374
600744,0.047304884
600746,0.035249308
600750,-0.17788975
600751,-0.099210486
600753,-0.41454208
600754,-0.21094386
600756,-0.18187861
600757,0.035249308
600760,-0.27205142
600761,-0.47638953
600763,-0.5233008
600764,-0.039057642
600765,-0.20075248
600768,0.035249308
600769,0.035249308
600770,0.08532746
600771,-0.4366579
600773,0.047339335
600775,-0.0034670697
600776,-0.16782467
600778,-0.12359156
600779,-0.43736666
600780,0.03524925
600782,0.03694047
600783,0.047048777
600784,-0.042789266
600785,-0.18186055
600787,0.035249308
600789,0.08532746
600790,0.035249308
600791,0.09653427
600792,-0.79001296
600793,0.047048777
600794,0.09653427
600795,0.03524925
600797,0.085328355
600798,0.046456352
600800,0.08900668
600802,-0.16292377
600805,0.09653427
600808,0.10117926
600809,-0.40128458
600814,-0.49976665
600818,-0.10807572
600819,0.08900668
600820,0.035249308
600822,-0.0034670697
600825,0.09653427
600827,0.13042368
600828,0.050120607
600829,-0.1254961
600830,0.09653427
600833,-0.1808965
600834,-0.07005541
600835,-0.21094386
600838,-0.9244859
600839,0.07877885
600848,-0.13675158
600851,-0.45646012
600853,-0.0037404762
600854,0.08555992
600855,0.006305112
600857,-0.07005535
600858,0.08532734
600862,-0.1667987
600863,0.09653427
600864,0.00030077837
600867,0.035249308
600868,0.09794904
600869,0.035249308
600871,0.008425606
600872,-0.43221158
600873,0.035249308
600874,0.08900668
600875,-0.17210393
600876,-0.32653767
600879,0.08900668
600880,0.03694047
600881,-0.11674164
600883,0.035249308
600884,-0.21094386
600885,-0.27205142
600886,0.006305112
600887,-0.27205142
600894,0.035249308
600895,-1.523206
600897,-0.19453494
600901,0.035249308
600903,0.035249844
600908,0.046456352
600926,-0.0122541655
600928,0.13616498
600933,-0.039057642
600936,0.09653427
600939,0.04696943
600959,0.09794702
600960,0.09653427
600962,0.035249308
600963,0.08555992
600965,0.035249308
600967,0.035249308
600968,0.050120607
600969,0.035249308
600971,-0.112391755
600973,-0.15208448
600976,-0.52329284
600977,-0.039057642
600979,0.09653427
600981,0.052302793
600982,0.03524925
600984,0.09653427
600985,-0.039057538
600986,0.09653427
600987,0.08532746
600988,-0.18187861
600989,0.047048777
600990,-0.039057642
600992,-0.08401124
600993,-0.20595667
600996,-0.03478913
600997,0.035249308
600998,0.035249308
601000,0.03528066
601001,-0.18187602
601002,0.035249308
601003,0.04373683
601005,0.31042078
601006,0.035249308
601007,-0.043571755
