,Date,Duokong Ret
0,2023-01-03,-0.0071515
1,2023-01-04,0.0024151
2,2023-01-05,-0.00839125
3,2023-01-06,0.0138334
4,2023-01-09,-0.0037206500000000003
5,2023-01-10,-0.00500895
6,2023-01-11,0.0173147
7,2023-01-12,0.006488099999999999
8,2023-01-13,0.0025746000000000002
9,2023-01-16,0.0062472
10,2023-01-17,-0.0058029
11,2023-01-18,0.005800700000000001
12,2023-01-19,0.0007645499999999999
13,2023-01-20,0.00304735
14,2023-01-30,-0.00010749999999999996
15,2023-01-31,0.004836200000000001
16,2023-02-01,7.230000000000004e-05
17,2023-02-02,0.0024798000000000003
18,2023-02-03,-0.00021170000000000027
19,2023-02-06,-0.0008825000000000001
20,2023-02-07,-0.0033813499999999995
21,2023-02-08,0.0107484
22,2023-02-09,-0.00198975
23,2023-02-10,-0.015218600000000002
24,2023-02-13,-0.004876650000000001
25,2023-02-14,0.00682645
26,2023-02-15,-0.0097399
27,2023-02-16,0.0044402
28,2023-02-17,9.640000000000004e-05
29,2023-02-20,0.007226250000000001
30,2023-02-21,0.011349300000000001
31,2023-02-22,-0.0022422
32,2023-02-23,0.0021693499999999996
33,2023-02-24,-0.0005449
34,2023-02-27,0.00403855
35,2023-02-28,-0.004391549999999999
36,2023-03-01,0.0007573999999999995
37,2023-03-02,0.0014940499999999998
38,2023-03-03,0.00608785
39,2023-03-06,-0.0030187499999999997
40,2023-03-07,-0.00044135000000000024
41,2023-03-08,-0.0039815
42,2023-03-09,0.006760049999999999
43,2023-03-10,0.0008939999999999995
44,2023-03-13,-0.0017885499999999999
45,2023-03-14,0.00492185
46,2023-03-15,0.0133464
47,2023-03-16,-0.0016951499999999999
48,2023-03-17,0.0012161499999999996
49,2023-03-20,0.0044724000000000005
50,2023-03-21,-0.0091949
51,2023-03-22,-0.00472065
52,2023-03-23,0.0027314
53,2023-03-24,-0.0009625000000000001
54,2023-03-27,-0.0069429999999999995
55,2023-03-28,0.00575815
56,2023-03-29,-0.0005595000000000003
57,2023-03-30,0.0042412
58,2023-03-31,-0.0044311
59,2023-04-03,-0.03144425
60,2023-04-04,0.009395049999999999
61,2023-04-06,0.00813445
62,2023-04-07,-0.0128054
63,2023-04-10,0.02204045
64,2023-04-11,-0.014096850000000003
65,2023-04-12,-0.00030150000000000017
66,2023-04-13,0.0137676
67,2023-04-14,0.025959100000000002
68,2023-04-17,0.0104335
69,2023-04-18,-0.00662465
70,2023-04-19,-0.005655149999999999
71,2023-04-20,-0.0238261
72,2023-04-21,0.01129115
73,2023-04-24,0.005624949999999999
74,2023-04-25,-0.0033266500000000004
75,2023-04-26,0.0112011
76,2023-04-27,0.02702875
77,2023-04-28,-0.00658465
78,2023-05-04,0.01591485
79,2023-05-05,0.00744385
80,2023-05-08,0.0037181499999999986
81,2023-05-09,-0.017778350000000002
