,Date,Duokong_CumRet(%)
0,2023-01-03,-0.7151499999999977
1,2023-01-04,-0.47536715876500546
2,2023-01-05,-1.3105032340940181
3,2023-01-06,0.05470805046745575
4,2023-01-09,-0.31756049904050343
5,2023-01-10,-0.8168648543788404
6,2023-01-11,0.9004613757270574
7,2023-01-12,1.555113659178886
8,2023-01-13,1.8165774548058122
9,2023-01-16,2.4526459774814713
10,2023-01-17,1.8581235181387656
11,2023-01-18,2.448971935230415
12,2023-01-19,2.5272992967235064
13,2023-01-20,2.8397358622353597
14,2023-01-30,2.8286805906301726
15,2023-01-31,3.325980655702576
16,2023-02-01,3.333451124103992
17,2023-02-02,3.5896974162015427
18,2023-02-03,3.56776747725851
19,2023-02-06,3.476368922459838
20,2023-02-07,3.1264791024038896
21,2023-02-08,4.234923750388164
22,2023-02-09,4.027522310855836
23,2023-02-10,2.444369059815843
24,2023-02-13,1.9447837274402913
25,2023-02-14,2.6407046963164538
26,2023-02-15,1.6409944966448098
27,2023-02-16,2.0923008404087895
28,2023-02-17,2.102142538209817
29,2023-02-20,2.839958145726551
30,2023-02-21,4.007119682709859
31,2023-02-22,3.7739149189572885
32,2023-02-23,3.999036861286731
33,2023-02-24,3.94236778610102
34,2023-02-27,4.3621442355235684
35,2023-02-28,3.903832661006068
36,2023-03-01,3.982529423863501
37,2023-03-02,4.137884521949209
38,2023-03-03,4.771860342236134
39,2023-03-06,4.4555802888280205
40,2023-03-07,4.40947881846756
41,2023-03-08,3.993772478551838
42,2023-03-09,4.696775580195434
43,2023-03-10,4.790374497564143
44,2023-03-13,4.602951673256528
45,2023-03-14,5.117791710949526
46,2023-03-15,6.520735806240552
47,2023-03-16,6.340167180938616
48,2023-03-17,6.469492775255703
49,2023-03-20,6.945666934743766
50,2023-03-21,5.962312221845489
51,2023-03-22,5.462101232655425
52,2023-03-23,5.750160415962324
53,2023-03-24,5.6483758865619516
54,2023-03-27,4.914859212781564
55,2023-03-28,5.518974709357627
56,2023-03-29,5.45993684300774
57,2023-03-30,5.9072135271463155
58,2023-03-31,5.43792807328618
59,2023-04-03,2.122511503467739
60,2023-04-04,3.081957605168406
61,2023-04-06,3.9204726352097596
62,2023-04-07,2.5897294149268557
63,2023-04-10,4.850853216610074
64,2023-04-11,3.3727864664435003
65,2023-04-12,3.3416195713238617
66,2023-04-13,4.764385652934022
67,2023-04-14,7.483974816537109
68,2023-04-17,8.605408867785446
69,2023-04-18,7.885936045929465
70,2023-04-19,7.275824894699334
71,2023-04-20,4.719860363175732
72,2023-04-21,5.9022680145154105
73,2023-04-24,6.49796297698364
74,2023-04-25,6.143681528446243
75,2023-04-26,7.332607519614531
76,2023-04-27,10.233673735110305
77,2023-04-28,9.507823575350427
78,2023-05-04,11.250624161378585
79,2023-05-05,12.078757120042273
80,2023-05-08,12.495482750828124
81,2023-05-09,10.495498685064963
82,2023-05-10,9.193193212787843
83,2023-05-11,9.298619240834793
84,2023-05-12,8.184964679528006
85,2023-05-15,9.26172963298335
86,2023-05-16,10.869412185889548
87,2023-05-17,10.047758972179931
88,2023-05-18,8.435229159960578
89,2023-05-19,7.919858202809116
90,2023-05-22,7.734419510459234
91,2023-05-23,7.295789594864366
92,2023-05-24,7.021257222817456
93,2023-05-25,5.292558908085865
94,2023-05-26,3.7364349153553356
95,2023-05-29,4.844552699942906
96,2023-05-30,2.7183261400985925
97,2023-05-31,2.644728459419232
98,2023-06-01,2.477150675736395
99,2023-06-02,2.7305100592095233
100,2023-06-05,1.9100477040961517
101,2023-06-06,1.8773141967736162
102,2023-06-07,1.488519802604471
103,2023-06-08,1.7415865011582543
104,2023-06-09,0.9996359815985345
105,2023-06-12,0.6138678719668222
106,2023-06-13,-0.3963959753355839
107,2023-06-14,-1.0878989764570135
108,2023-06-15,-0.3329226917645034
109,2023-06-16,-0.3750718987581503
110,2023-06-19,-1.711077053320642
111,2023-06-20,-2.32223757620309
112,2023-06-21,-0.39882568521114603
113,2023-06-26,1.8473700378185631
114,2023-06-27,3.1604932720846524
115,2023-06-28,4.017483595868487
116,2023-06-29,3.8234753863396698
117,2023-06-30,3.725549084355273
118,2023-07-03,4.764899831290337
119,2023-07-04,4.093660641581276
