,Date,10 Min Volatility Ret,10 Max Sharpe Ratio Ret,10 Equal Weighted Ret
0,2023-01-03,-0.006461264466061609,0.01746528975484281,0.009455
1,2023-01-04,-0.0031435461291039815,0.0093907061794102,0.0086935
2,2023-01-05,-0.009659447882653036,-0.00545132061206754,-0.010281400000000001
3,2023-01-06,-0.013847019771849583,-0.008014266545227553,-0.0121533
4,2023-01-09,0.011896788273816059,-1.8676794052291387e-18,0.00019439999999999952
5,2023-01-10,-0.0055983862077881525,-0.012149880225329451,-0.0111981
6,2023-01-11,-0.011905472014660528,0.0010005848064701282,-0.0038685000000000004
7,2023-01-12,8.589215438708424e-05,0.00730755442772747,-0.0042242
8,2023-01-13,0.007545712184605436,0.0037499100170411753,0.005296700000000001
9,2023-01-16,0.007345528794390505,0.008886274472312867,0.0080003
10,2023-01-17,-0.0082069373258764,-0.008310691101288955,-0.0050049
11,2023-01-18,0.005486496722971794,0.015847949923839894,0.009226000000000002
12,2023-01-19,0.00217939420602797,-0.0022893923719393087,0.0016563000000000003
13,2023-01-20,0.013564964126353813,0.021641436874540308,0.019100800000000005
14,2023-01-30,0.006312818737051138,0.027597857036506915,0.014683000000000002
15,2023-01-31,0.0020064698062734663,0.003927457197872872,0.0031124
16,2023-02-01,0.015325571203782884,0.006502399838634028,0.0089276
17,2023-02-02,-0.0013100631571106146,-0.0005123608137323255,-0.0019658
18,2023-02-03,-0.010104470795804045,-0.004823877595028653,-0.0026329
19,2023-02-06,-0.0016638929567897036,-0.002706596832784177,-0.006816200000000001
20,2023-02-07,0.007293365562131253,0.006826350698645352,0.007266600000000001
21,2023-02-08,-0.007228761259510606,-0.001335711090871259,-0.0036586000000000006
22,2023-02-09,0.007293365562131251,0.004294598617370903,0.0047077
23,2023-02-10,-0.0003366094047924759,-0.0029267499683399184,0.0003552000000000001
24,2023-02-13,0.0015897550228505162,0.008301731889984678,0.0060549
25,2023-02-14,0.0026873104697126547,0.016569936850104324,0.0063794
26,2023-02-15,-0.0035932668807756234,-0.024754110893322353,-0.011881099999999999
27,2023-02-16,-0.01575934226457839,-0.01744052397121645,-0.0146175
28,2023-02-17,0.001329138281800437,0.010871675102386522,0.0014533000000000003
29,2023-02-20,0.01396490123383947,-0.002904095776316904,0.012386300000000001
30,2023-02-21,0.04681421108541259,0.017821156647753557,0.021437700000000004
31,2023-02-22,0.0037930515340697728,0.0028573038606096537,0.0005243
32,2023-02-23,-0.016102333885052313,-0.007651307703856487,-0.003971000000000001
33,2023-02-24,-0.008142009216858655,-0.004113891424020903,-0.0033472000000000003
34,2023-02-27,-0.009550928201642708,-0.002055283483002654,-0.0056251999999999995
35,2023-02-28,0.006478804717158867,0.00211858820741784,0.0052934
