Date,1st_CumRet(%),2nd_CumRet(%),3rd_CumRet(%),4th_CumRet(%),5th_CumRet(%)
2023-01-03,1.5163026785714129,1.4803272321428418,1.6068892857142858,2.096105357142841,1.6204691964285756
2023-01-04,2.3113557012609753,1.879222387522117,2.016049796017616,2.284886981168599,2.1350607352293993
2023-01-05,2.219956034344106,2.1224481153413466,2.8838625310424693,3.487066829079999,2.3881017160812146
2023-01-06,1.5967364779317483,1.758383867329072,3.051639930562011,3.8891866170569056,1.5183152490928498
2023-01-09,1.8524078401764843,2.2440625508943546,3.766112131915378,4.302436003242005,2.318390155706229
2023-01-10,1.3469784525188322,1.5529155103856995,3.757064097530738,4.504469821780299,1.925587572005849
2023-01-11,0.8167211075341685,1.0328072666257349,3.0695054058566207,3.595179229087875,1.3146970179179984
2023-01-12,0.6248511346538477,1.0487343670284144,3.3528379546367004,3.619395527189617,0.9568625540057996
2023-01-13,1.4285422698844252,1.680914646976639,4.209165586526842,4.220654933708112,1.6052111309298622
2023-01-16,2.3431066817102497,2.8995318112634116,5.298840822189077,5.440092894197002,2.4137173619058983
2023-01-17,1.9515373866573427,2.8072212843975874,5.211757740660916,5.641788965465477,2.0525896779362895
2023-01-18,2.545480645306064,3.3557391164226846,5.507576567190586,5.82472375797356,2.3482961683664705
2023-01-19,3.035514367431924,4.149598860651227,6.126787345616336,6.652875448309081,2.8830267214110306
2023-01-20,4.302451011573227,5.1259715929415695,6.982072600440681,7.209789624552365,3.870949043723493
2023-01-30,5.416135310253933,5.8111122789283876,7.9777604813154435,8.019528892672124,4.883676421902372
2023-01-31,6.0887081366277185,6.487215999386442,8.339042980883704,7.956709267630524,4.8883446819645515
2023-02-01,7.378668208258632,7.992105696013052,9.563019763279247,9.679596174227756,6.318949592689593
2023-02-02,7.384824265656542,7.869029889375478,9.834609859171195,10.50183766612902,6.5105069122892045
2023-02-03,6.991498582991373,7.336535386442944,9.32794231355778,10.352376531008955,6.475389827568234
2023-02-06,6.926758218255058,7.191292282731432,8.758799592577882,9.946465019721163,6.1684250813878405
2023-02-07,7.748340944111787,8.074194895583098,9.164210156318099,10.469635947701272,6.547102259479254
2023-02-08,7.0783752286639245,7.508681714095333,8.554389150631248,10.171506510855433,5.735863087323145
2023-02-09,8.044632321645873,8.598531297043642,9.906290136013185,11.86445007993533,6.997436376696431
2023-02-10,8.324799288387542,8.637788696477756,9.578422499679618,11.400123719817401,7.243134971981924
2023-02-13,9.005905488106048,9.291036934722129,10.825633831593851,12.971049970721715,8.3998934180334
2023-02-14,9.374946441036535,9.66881311364094,11.278531195120657,13.47404247534536,8.498365526569863
2023-02-15,9.13593337448324,9.672155564476315,11.042132375075543,13.545799609794585,8.453752354894917
2023-02-16,7.256868389118476,7.814218671764173,8.880352740350062,11.378031866129934,6.635354769339963
2023-02-17,7.125674086066391,7.736230967899882,8.585266569357586,10.595755331510915,6.262772267927974
2023-02-20,8.630531079343108,9.6161045902033,10.155288335036893,12.439069597552699,7.971041683997515
2023-02-21,9.479177520979087,10.505397046935961,11.015060687550115,12.734328068834166,8.407576317743182
2023-02-22,9.385887088087696,10.619393723870862,11.123631434490733,12.958133390354565,8.516987632066652
2023-02-23,9.23627454102296,10.522158782950996,11.240602450941806,12.866278761090344,7.990390540450232
2023-02-24,8.95519887806624,10.525668354894835,11.202577532687052,12.605009449512528,7.786926520572912
2023-02-27,8.13009283073396,10.141640505759653,10.564138216627917,12.145034072341199,6.884121028127144
2023-02-28,9.207295435433549,11.156312501658938,11.424976776265282,12.801140596771333,8.104836939809278
2023-03-01,10.030466876211142,12.047633784226086,11.988598631671943,13.41948975996723,9.173913181127169
2023-03-02,10.374499726441933,12.14189885827357,11.357544378229779,12.886161445232403,9.238517331635654
2023-03-03,10.888528061223735,12.59467027301342,11.267432262496868,12.424863737476265,9.568442525246756
2023-03-06,10.524869628485046,12.478836998005738,11.605844706779123,13.063396309871344,9.584106899369193
